SSA,PC-S,CB,VB,Fe2+/Fe3+,Light,Dose,pH,C,Time,EHOMO,Hardness,remove
59.916,0.184,-0.25,2.1,1.23,2,20,4.8,10,2,-6.059521,7.2078,0.145062037
59.916,0.184,-0.25,2.1,1.23,2,20,4.8,10,5,-6.059521,7.2078,0.160742135
59.916,0.184,-0.25,2.1,1.23,2,20,4.8,10,10,-6.059521,7.2078,0.197579995
59.916,0.184,-0.25,2.1,1.23,2,20,4.8,10,15,-6.059521,7.2078,0.231752007
59.916,0.184,-0.25,2.1,1.23,2,20,4.8,10,20,-6.059521,7.2078,0.239626628
59.916,0.184,-0.25,2.1,1.23,2,20,4.8,10,30,-6.059521,7.2078,0.278607921
59.916,0.184,-0.25,2.1,1.23,3,20,5.1,5,5,-6.187815,7.034,0.208372242
59.916,0.184,-0.25,2.1,1.23,3,20,5.1,5,10,-6.187815,7.034,0.289722299
59.916,0.184,-0.25,2.1,1.23,3,20,5.1,5,15,-6.187815,7.034,0.351210156
59.916,0.184,-0.25,2.1,1.23,3,20,5.1,5,30,-6.187815,7.034,0.467867989
59.916,0.184,-0.25,2.1,1.23,3,20,5.1,5,60,-6.187815,7.034,0.585047405
59.916,0.184,-0.25,2.1,1.23,1,20,5.1,5,5,-6.187815,7.034,0.131138948
59.916,0.184,-0.25,2.1,1.23,1,20,5.1,5,10,-6.187815,7.034,0.210283246
59.916,0.184,-0.25,2.1,1.23,1,20,5.1,5,15,-6.187815,7.034,0.238996439
59.916,0.184,-0.25,2.1,1.23,1,20,5.1,5,60,-6.187815,7.034,0.290566311
59.916,0.184,-0.25,2.1,1.23,3,30,4.9,10,5,-6.302726,7.2129,0.097012655
59.916,0.184,-0.25,2.1,1.23,3,30,4.9,10,15,-6.302726,7.2129,0.238587543
59.916,0.184,-0.25,2.1,1.23,3,30,4.9,10,25,-6.302726,7.2129,0.309439576
59.916,0.184,-0.25,2.1,1.23,3,30,4.9,10,40,-6.302726,7.2129,0.400060005
59.916,0.184,-0.25,2.1,1.23,3,30,4.9,10,60,-6.302726,7.2129,0.469274395
59.916,0.184,-0.25,2.1,1.23,1,30,4.9,10,5,-6.302726,7.2129,0.146916015
59.916,0.184,-0.25,2.1,1.23,1,30,4.9,10,15,-6.302726,7.2129,0.213623484
59.916,0.184,-0.25,2.1,1.23,1,30,4.9,10,25,-6.302726,7.2129,0.241278477
59.916,0.184,-0.25,2.1,1.23,1,30,4.9,10,40,-6.302726,7.2129,0.246460388
59.916,0.184,-0.25,2.1,1.23,1,30,4.9,10,60,-6.302726,7.2129,0.280358155
15.63,0.14,-0.03,2.29,1.26,2,20,4.8,10,2,-6.059521,7.2078,0.012100784
15.63,0.14,-0.03,2.29,1.26,2,20,4.8,10,5,-6.059521,7.2078,0.033394934
15.63,0.14,-0.03,2.29,1.26,2,20,4.8,10,10,-6.059521,7.2078,0.055759092
15.63,0.14,-0.03,2.29,1.26,2,20,4.8,10,15,-6.059521,7.2078,0.086478726
15.63,0.14,-0.03,2.29,1.26,2,20,4.8,10,20,-6.059521,7.2078,0.109190693
15.63,0.14,-0.03,2.29,1.26,2,20,4.8,10,30,-6.059521,7.2078,0.130270619
15.63,0.14,-0.03,2.29,1.26,2,20,6,10,5,-5.943586,6.9214,0.127540416
15.63,0.14,-0.03,2.29,1.26,2,20,6,10,15,-5.943586,6.9214,0.19131959
15.63,0.14,-0.03,2.29,1.26,2,20,6,10,30,-5.943586,6.9214,0.225976765
15.63,0.14,-0.03,2.29,1.26,2,20,6,10,60,-5.943586,6.9214,0.314659152
15.63,0.14,-0.03,2.29,1.26,3,20,4,10,5,-5.943586,6.9214,0.139207064
15.63,0.14,-0.03,2.29,1.26,3,20,4,10,15,-5.943586,6.9214,0.251693322
15.63,0.14,-0.03,2.29,1.26,3,20,4,10,30,-5.943586,6.9214,0.332564985
15.63,0.14,-0.03,2.29,1.26,3,20,4,10,60,-5.943586,6.9214,0.421575233
15.63,0.14,-0.03,2.29,1.26,3,20,8,10,5,-5.943586,6.9214,0.422380952
15.63,0.14,-0.03,2.29,1.26,3,20,8,10,15,-5.943586,6.9214,0.61797619
15.63,0.14,-0.03,2.29,1.26,3,20,8,10,30,-5.943586,6.9214,0.739761905
15.63,0.14,-0.03,2.29,1.26,3,20,8,10,60,-5.943586,6.9214,0.86547619
15.63,0.14,-0.03,2.29,1.26,3,40,5.2,5,5,-6.302726,7.2129,0.053241674
15.63,0.14,-0.03,2.29,1.26,3,40,5.2,5,15,-6.302726,7.2129,0.106649948
15.63,0.14,-0.03,2.29,1.26,3,40,5.2,5,30,-6.302726,7.2129,0.144187433
15.63,0.14,-0.03,2.29,1.26,3,40,5.2,5,45,-6.302726,7.2129,0.162224015
15.63,0.14,-0.03,2.29,1.26,3,40,5.2,5,60,-6.302726,7.2129,0.190405626
33.3,0.145,-0.45,1.94,0.96,2,20,4.8,10,2,-6.059521,7.2078,0.055053468
33.3,0.145,-0.45,1.94,0.96,2,20,4.8,10,5,-6.059521,7.2078,0.055846443
33.3,0.145,-0.45,1.94,0.96,2,20,4.8,10,10,-6.059521,7.2078,0.094702226
33.3,0.145,-0.45,1.94,0.96,2,20,4.8,10,15,-6.059521,7.2078,0.147201847
33.3,0.145,-0.45,1.94,0.96,2,20,4.8,10,20,-6.059521,7.2078,0.160379229
33.3,0.145,-0.45,1.94,0.96,2,20,4.8,10,30,-6.059521,7.2078,0.199701468
33.3,0.145,-0.45,1.94,0.96,2,20,4,10,5,-6.059521,7.2078,0.03637748
33.3,0.145,-0.45,1.94,0.96,2,20,4,10,10,-6.059521,7.2078,0.043301832
33.3,0.145,-0.45,1.94,0.96,2,20,4,10,15,-6.059521,7.2078,0.049715591
33.3,0.145,-0.45,1.94,0.96,2,20,4,10,20,-6.059521,7.2078,0.066950329
33.3,0.145,-0.45,1.94,0.96,2,20,4,10,30,-6.059521,7.2078,0.072799749
33.3,0.145,-0.45,1.94,0.96,2,20,5,10,5,-6.059521,7.2078,0.026515837
33.3,0.145,-0.45,1.94,0.96,2,20,5,10,10,-6.059521,7.2078,0.053375566
33.3,0.145,-0.45,1.94,0.96,2,20,5,10,15,-6.059521,7.2078,0.086515837
33.3,0.145,-0.45,1.94,0.96,2,20,5,10,20,-6.059521,7.2078,0.091791855
33.3,0.145,-0.45,1.94,0.96,2,20,5,10,30,-6.059521,7.2078,0.12038009
33.3,0.145,-0.45,1.94,0.96,2,20,6,10,5,-6.059521,7.2078,0.077615337
33.3,0.145,-0.45,1.94,0.96,2,20,6,10,10,-6.059521,7.2078,0.083035815
